"museumid","sitename","vesselname","protected","origin","launchedy","periodc","vesseltype","purpose","propulsion","lengthm","beamm","tonnagebrt","physicaldescription","biography","wrecked","latitude","longitude","locationdescription","shipwreckingcause","shipwreckingy","depthm","toponym","locationtype","storyofshipwrecking","discoveryy","storyofdiscovery","objectsrecovered","text"
3128,"Hanseat V312","Hanseat V.312","no","Saksamaa","1926","20. sajand","aurik",NA,"aurulaev","42.3","7.7","305","Vraki umbkaudsed moodud: 28x6,50x3,50 m. Raudlaev.","1926 - ehitamine, Geestemunde, Saksamaa.  Kompanii: Tecklenborg 1929 - omanikuvahetus: Hanseatiche Fishing 1929 - umbernimetamine: Hanseat 1941 - omanikuvahetus: Saksa merevagi 1941 - nimevahetus :V.312 20.08.1944 - laevahukk 2008 - avastamine 2008 - kontrollimine","yes",59.5716740100949,24.4654146606139,"W pool Naissaart",NA,1944,"4.10 ?","Naissaar","saarelahedane","Hukkus 20.augustil 1944 W pool Naissaart.","2008","Avastas Veeteede Amet, kontrollis ja identifitseeris A.Ossiptsuk 2008. aastal. 2008.aasta aprillis A.Ossiptsuki poolt sonari ja allveekaamera abil ule vaadatud. Vajab pohjalikumat uurimist.","no","Hanseat V.312 (ex Sirius), Raj. III -  , Saksa aurik, ehit. 1926.aastal Geestemundes, Tecklenborg. Pikkus 42,3 m, laius 7,7 m, 305 brt. Omanik Sirius Handels. Alates 1929 Hanseat, omanik Hanseatiche Fishing. Alates 1941 V.312, omanik Saksa merevagi. Hukkus 20.augustil 1944 W pool Naissaart. Avastas Veeteede Amet, kontrollis ja identifitseeris A.Ossiptsuk 2008. aastal.(A 92, Lutt, Ossiptsuk, sonari pildid, vraki skits, laeva foto) Vt. ka Jarvsaare vrakk.; Jarvsaare vrakk, Raj. III -  , Naissaare W kuljes, Veeteede Ameti andmeil 4,1 meetri vee sugavusel lebav laevavrakk mootudega orienteeruvalt 28x6,5x3,5 meetrit. 2008.aasta aprillis A.Ossiptsuki poolt sonari ja allveekaamera abil ule vaadatud. Leitud kolmeks tukiks oleva raudlaeva vrakk, mida kunagi oluliselt tukeldatud. Vajab pohjalikumat uurimist. (Lutt, Ossiptsuk, sonari pildid) VT. Hanseat V.312"
4162,"Adam","Adam","no","Rootsi/Soome",NA,"19. sajand","aurik",NA,"aurulaev",NA,NA,NA,NA,"september 1893 - viimane reis 02.09.1893 - laevahukk","yes",NA,NA,NA,NA,1893,NA,"Kardla","rannikulahedane","Hukkus 2.septembril 1893.a. Kardla lahistel. Reisijad tulid paadiga Suuremoisa valla Hiiusaare kula all randa.",NA,"leidmata","no","Adam, Raj. IV -  , Rootsi (Soome?) aurik, hukkus 2.septembril 1893.a. Kardla lahistel teel Peterburist Taani. Reisijad tulid paadiga Suuremoisa valla Hiiusaare kula all randa. Vrakk lebab arvatavalt viie sulla sugavusel, senini leidmata. (A128,130,131)"
2386,"Alev","Alev","no","Eesti",NA,"20. sajand","aurik",NA,"aurulaev","72.89","10.96","1446",NA,"28.08.1941 - hukkumine","yes",59.9004266133019,27.5833834183972,"Juminda poolsaarest NW pool. Vene sojaajaloolase R.Zubkovi uurimuse kohaselt, mida toetavad koos Aleviga soitnud laevade tunnistused, hukkus Alev Suursaarest SE pool","miinivali",1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 28. augustil 1941 .","2007","Arvatavalt leitud 2007. Vene sojaajaloolase R.Zubkovi uurimuse kohaselt, mida toetavad koos Aleviga soitnud laevade tunnistused, hukkus Alev Suursaarest SE pool. Molemad andmed on kinnitamata.","no","Alev, Raj. II - , Eesti aurik, 1446 brt, pikkus 72,89 meetrit, laius 10,96 meetrit, hukkus Juminda miinivaljal 28. augustil 1941.a., Juminda poolsaarest NW pool. Arvatavalt leitud 2007.a. koordinaatides 59*49,3903<U+00B4>N; 25*28,4668<U+00B4>E. Identifitseerimata. Vene sojaajaloolase R.Zubkovi uurimuse kohaselt, mida toetavad koos Aleviga soitnud laevade tunnistused, hukkus Alev Suursaarest SE pool, ligikaudsetes koordinaatides 59*54<U+00B4>N; 27*35<U+00B4>E. Kinnitamata.(A1, A324 B Mass, Zubkov)"
6114,"Arion","Arion","no","Eesti",NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,NA,NA,"20.12.1918 - laevahukk","yes",58.1562298862965,22.4360921324621,NA,"uputamine",1918,NA,"Suur katel","laht","Uputas end Suures Katlas 20.12.1918",NA,"Vrakk avastatud VTA meremoodistustoode kaigus","no","Arion, Raj. VI - , vaike aurik, Kuressaare (Arensburgi) sadamakapteni alus, uputas end Suures Katlas 20.12.1918.a. Vrakk avastatud VTA meremoodistustoode kaigus koordinaatides 58*09,3429<U+00B4>N; 22*26,1594<U+00B4>E. (A348, B Lutt)"
742,"Auk","Auk","no","Inglismaa","1877","19. sajand","aurik",NA,"aurulaev","70.1","9.63","1055",NA,"1877 - ehitamine, Inglismaa 20.08.1915 - laevahukk 27.11.1920 - ulestostmine ja viimine Tallinna","ules tostetud",NA,NA,"Parnu joe suue","uputamine",1915,NA,"Parnu jogi","joesuue","Uputati Parnu joe suudmesse 20.08.1915. Tosteti ules ja toodi Tallinna 27.11.1920.a.","1920","Tosteti ules ja toodi Tallinna 27.11.1920","yes","Auk, Raj. VII -   , aurik, 1055 BRT, ehit. 1877.a. Inglismaal, L=70,10 m  B=9,63 m. Uputati Parnu joe suudmesse 20.08.1915.a. Tosteti ules ja toodi Tallinna 27.11.1920.a. (A99 lk.40, A100 lk.155, A348, rooliratas asub Meremuuseumis)"
743,"City of Berlin","City of Berlin","no","Inglismaa","1874","19. sajand","aurik",NA,"aurulaev","74.46","9.35","999",NA,"1874 - ehitamine, Inglismaa 20.08.1915 - laevahukk  - ulestostmine, umbernimetamine: Sakala<U+02C7>","ules tostetud",NA,NA,"Parnu joe suue","uputamine",1915,NA,"Parnu jogi","joesuue","Uputati Parnu joe suudmesse 20.08.1915.a., tosteti hiljem ules ja taastati, hilisem Sakala.",NA,"Tosteti hiljem ules ja taastati Sakala nime all","yes","City of Berlin, Raj. VII -  , aurik,ehit. 1874 Inglismaal, 999 BRT, L=74,46 m  B=9,35 m. Uputati Parnu joe suudmesse 20.08.1915.a., tosteti hiljem ules ja taastati, hilisem Sakala. (A348, foto)"
6202,"Corsika","Corsika","no",NA,NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,"2364",NA,"12.10.1917 - sattumine miinile, paastmine","no",NA,NA,"Tagalahe suu","miin",1917,NA,"Tagalaht","laht","Sai vigastada Saksa dessandi kaigus miinil Tagalahe suus 12.10.1917. Paasteti.",NA,"Paasteti","yes","Corsika, Raj. VI -  , aurik, (2364 BRT ?),sai vigastada Saksa dessandi kaigus miinil Tagalahe suus 12.10.1917.a. Paasteti. (A6 lk.388  A19 lk.11, A37 lk.286, A125 lk.63)"
3148,"Elizabeth","Elizabeth","no","Inglismaa","1906","20. sajand","aurik",NA,"aurulaev","119.32","15.24","4444",NA,"1906 - ehitamine, Inglismaa 31.08.1916 - laevahukk 1934 - lammutamine","lammutatud",NA,NA,"Laevahukk W pool Krassgrundi","torpeedo",1916,NA,"Krassi madal","madal","Peale torpedeerimist U-19 poolt 31.08.1916.a. soitis W poole Krassgrundi kinni. Lammutati 1934.",NA,"Vaidetavalt rakk leitud ja esialgselt uuritud","no","Elizabeth (vn. Jelizaveta), Raj. III -  ,aurik, 4444 BRT, ehit.1906.a. Inglismaal, L=119,32 m  B=15,24 m. Peale torpedeerimist U-19 poolt 31.08.1916.a. soitis W poole Krassgrundi kinni. Lammutati 1934. (Vrakk leitud ja esialgselt uuritud.  A6 lk.377, A87)"
746,"Everiga","Everiga","no",NA,"1914","20. sajand","aurik",NA,"aurulaev",NA,NA,"4648",NA,"03.07.1941 - laevahukk","ules tostetud",NA,NA,"Laevahukk Parnu muulide vahel. Hiljem ules tostetud","torpeedo",1914,NA,"Parnu","sadamalahedane","Torpedeeriti TKA-67 poolt Parnu muulide vahel 03.07.1941.a. Hiljem ules tostetud.",NA,NA,"no","Everiga, Raj. VII -  , aurik, ehit.1914.a., 4648 BRT, torpedeeriti TKA-67 poolt Parnu muulide vahel 03.07.1941.a. Hiljem ules tostetud. (A1 lk.46,121, A4 lk.93)"
161,"F-498","F-498","no",NA,NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,NA,NA,"juuli 1944 - laevahukk","yes",NA,NA,"Laevahukk Narvas. Praegune asukoht teadmata.","pommitabamus",1944,NA,"Narva","rannikulahedane","Hukkus lennukipommi tabamusest Narvas 07.1944.a. Asukoht teadmata.",NA,"Asukoht teadmata","no","F-498 (MFP-498), Raj. I -  , aurik, hukkus lennukipommi tabamusest Narvas 07.1944.a. Asukoht teadmata. (A92 lk.346)"
4174,"Guildford","Guildford","no","Inglismaa",NA,"19. sajand","aurik","kaubalaev","aurulaev",NA,NA,NA,NA,"09.12.1893 - laevahukk","yes",NA,NA,"Laevahukk Hiiu madalal. Praegune asukoht teadmata","madalalesoit",1893,NA,"Hiiu madal","madal","Jooksis oosel vastu 9.dets.1893.a. puuvillalaadungiga Hiiu madalale. Laadung paasteti, laeva saatus on teadmata.",NA,"Asukoht teadmata","no","Guildford, Raj. IV -  , Inglise aurik, jooksis oosel vastu 9.dets.1893.a. puuvillalaadungiga Hiiu madalale. Laadung paasteti, laeva saatus on teadmata. (A132)"
3152,"Helene","Helene","no","Soome",NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,"1850",NA,"12.08.1942 - laevahukk","yes",NA,NA,"Laevahukk Porkkala lahistel. Praegune asukoht teadmata",NA,1942,NA,"Porkkala",NA,"Hukkus 12.08.1942. aastal Porkkala lahistel (?).",NA,"Asukoht teadmata","no","Helene, Raj. III - , Soome aurik 1850 brt, hukkus 12.08.1942. aastal Porkkala lahistel (?). Tapsem info puudub."
6100,"Kapella","Kapella","no",NA,NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,NA,NA,"15.09.1915 - laevahukk","yes",57.6995367627596,22.150087147325,"Kura kurk","uputamine",1915,NA,"Irbe vain","vain","Uputati venelaste poolt 25.sept.1915.aastal Kura kurku laevaliikluse sulgemiseks.",NA,NA,"no","Kapella, Raj. VI - , aurik, uputati venelaste poolt 25.sept.1915.aastal Kura kurku laevaliikluse sulgemiseks.  (A81)"
572,"Kuivastu","Kuivastu","no","Lati","1913","20. sajand","aurik",NA,"aurulaev","30.17","11.1",NA,NA,"1913 - ehitamine, Riia, Lati 17.09.1941 - laevahukk 1942 - ulestostmine","ules tostetud",NA,NA,"Triigi laht","ohurunnak",1941,NA,"Triigi laht","laht","Uputati lennurunnaku tagajarjel Triigi lahes 17.09.41.a. Tosteti ules 1942.a.",NA,NA,"yes","Kuivastu, Raj. V -  , aurik, ehit.1913.a. Riias,  L=30,17 m  B=11,1 m. (?) Uputati lennurunnaku tagajarjel Triigi lahes 17.09.41.a. Tosteti ules 1942.a. (A2 lk.188, A4 lk37.)"
577,"Martha","Martha","no","Lati","1872","19. sajand","aurik",NA,"aurulaev","32.85","5.36","135",NA,"1872 - ehitamine, Stockholm, Rootsi 10.11.1920 - laevahukk","yes",NA,NA,"Kubassaare lahistel","udu",1920,NA,"Kubassaare","kivid","Jooksis 10.11.1920.a. udu tottu Kubassaare lahedale kivide otsa, kus hukkus.",NA,NA,"no","Martha (ex Rapid, Nya, Enkoping, Enkoping 2), Raj.V voi VI, Lati aurik, ehit. 1872.a. Stockholmis, 135 BRT, L=32,85 m B=5,36 m. Jooksis 10.11.1920.a. udu tottu Kubassaare lahedale kivide otsa, kus hukkus. (A285)"
28,"Pohjanlahti","Pohjanlahti","no","Soome",NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,"682",NA,"05.08.1942 - laevahukk","yes",NA,NA,"Eesti rannik","suurtukituli",1942,NA,NA,"rannikulahedane","Uputati Eesti rannikul Vene allveelaeva S-7 poolt suurtukitulega 5.08.1942.a. Asukoht teadmata.",NA,"Asukoht teadmata","no","Pohjanlahti, Raj. ?, Soome aurik 682 BRT, uputati Eesti rannikul Vene allveelaeva S-7 poolt suurtukitulega 5.08.1942.a. Asukoht teadmata. (A92 lk.369)"
594,"Voitto","Voitto","no","Soome",NA,"20. sajand","aurik",NA,"aurulaev",NA,NA,"167",NA,"04.09.1944 - laevahukk","yes",NA,NA,"Paatsalu rand",NA,1944,NA,"Paatsalu","rannikulahedane","Laev hukkus tormis Paatsalu rannas 04.09.1944.a. Asukoht ja seisukord teadmata",NA,"Asukoht ja saatus teadmata","no","Voitto, Raj. V -   , Soome aurik, 167 BRT ?, laev hukkus tormis Paatsalu rannas 04.09.1944.a. Asukoht ja seisukord teadmata. (A92 lk.370, A97 lk.227)"
2417,"Anette","Anette","no","Eesti","1912","20. sajand","barkantiin",NA,NA,"34.67","8","213.62",NA,"1912 - ehitamine, Kihnu 26.05.1942 - laevahukk","yes",NA,NA,"Pohja-Malusi juures voi Muuga lahes","miin",1942,NA,"Pohja-Malusi voi Muuga laht",NA,"Hukkus 26.05.1942.a. miinil Pohja-Malusi juures voi Muuga lahes(?).",NA,"Leidmata","no","Anette, Raj. II -  , barkantiin, ehit. 1912 Kasmus, 213,62 BRT, L=34,67 m , B=8,00 m , hukkus 26.05.1942.a. miinil Pohja-Malusi juures voi Muuga lahes(?). Jaanused leidmata. (Klamas, A24 lk.62, A31 lk.11,52,54,56, A209 lk.4, foto)"
2419,"Argus","Argus","no","Venemaa","1807","19. sajand","fregatt",NA,NA,"48.5","12.64",NA,"44 suurtukiga fregatt","1807 - ehitamine, Arhangelsk, Venemaa 22.10.1808 - laevahukk","yes",NA,NA,"Kuradimuna madal","madalalesoit",1808,NA,"Kuradimuna madal","madal","Hukkus 22.10.1808.a. Kuradimuna madalal.",NA,"Kuradimuna madalal nahtud suure hulga suurtukkide paritolu maaramata.","no","Argus, Raj. II -   , 44 suurtukiga fregatt, ehit. 1807 Arhangelskis. L=48,50 m  B=12,64 m, hukkus 22.10.1808.a. Kuradimuna madalal. Seal nahtud suure hulga suurtukkide paritolu maaramata. ( A5 lk.96, A23 lk.456, A45 lk.373 A149 lk.36-37)"
151,"Oleg","Oleg","no","Venemaa","1860","19. sajand","fregatt",NA,"purjeaurik","77.2","14.2",NA,"57 suurtukiga purje/aurufegatt. Aurumasin 800 HJ.","1860 - ehitamine, Kroonlinn, Venemaa 16.08.1869 - laevahukk","yes",NA,NA,"Morgonlandi madala lahistel SOome lahe idaosas","kokkuporge",1869,"50","Morgonlandi madal","madal","Hukkus kokkuporkel soomuspatareiga ""Pervenets"" 16.08.1869.a. Morgonlandi madala lahistel Soome lahe idaosas.",NA,"Vene vrakiotsijate (Lukoskov) poolt leitud, uuritud.","no","Oleg, Raj. I -  , Vene 57 suurtukiga purje/aurufregatt, ehit. 1860.a. Kroonlinnas. L=77,2 m  B=14,2 m  veevaljasurve 4408 t, aurumasin 800 HJ, meeskond 728, hukkus kokkuporkel soomuspatareiga ""Pervenets"" 16.08.1869.a. Morgonlandi madala lahistel Soome lahe idaosas. Vrakk lebab ligikaudu 50 m sugavusel. Vene vrakiotsijate (Lukoskov) poolt leitud, uuritud(A123, A211 lk.27)"
362,"Fliegende Vogel","Fliegende Vogel","no","Preisimaa",NA,"19. sajand","galeass",NA,"purjelaev",NA,NA,NA,NA,"04.10.1820 - laevahukk","yes",59.3211914471034,24.0265884031472,"Pakri saarest 0,5 miili SSO suunas","torm",1820,NA,"Pakri","saarelahedane","Preisi galeass, uppus 4.oktoobril 1820.aastal, reisil Danzigist Peterburi, tormise ilmaga Pakri saare juures. Meeskond paastis end paadiga ja laks saarele. Arhiivi andmetel juhtus laevahukk Pakri saarest 0,5 miili SSO suunas. Mere pohjal vaevaltmargatav vrakijaanus",NA,"Vrakki ennast tulemusteta otsitud","no","Fliegende Vogel, Raj. III -  , Preisi galeass, uppus 4.oktoobril 1820.aastal, reisil Danzigist Peterburi, tormise ilmaga Pakri saare juures. Meeskond paastis end paadiga ja laks saarele. Arhiivi andmetel juhtus laevahukk Pakri saarest 0,5 miili SSO suunas. Mere pohjal vaevaltmargatav vrakijaanus koordinaatides 59*19,2821<U+00B4>N; 24*01,6085<U+00B4>E  Vrakki ennast tulemusteta otsitud. (A TLA.1213.1.6, l.54-56p, Interreg reg. ID 81)"
2270,"Vostok","Vostok","no","Venemaa","1909","20. sajand","hudrograafialaev",NA,"aurulaev","41.1","8.6",NA,"Ujuvmajakas, hiljem hudrograafialaev","1909 - ehitamine, Rauma, Soome 29.08.1941 - laevahukk, Juminda miinivali 2007 - leidmine","yes",59.7748801570076,25.3250029451637,"Juminda miinivali","pommitabamus",1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 29. augustil 1941.a. pommitabamusest.","2007","Leitud 2007. aastal","no","Vostok (ex Luserortski 1914, Ovisi 1918, Kurs 1922, Prijomnoi 1936), Raj. II - , Vene ujuvmajakas, hiljem hudrograafialaev, ehitatud Raumas 1909, veevaljasurve 426 t, pikkus 41,10 meetrit, laius 8,60 meetrit, meeskond 34, hukkus Juminda miinivaljal 29. augustil 1941.a. pommitabamusest. Leitud 2007.a. (A1; A324; B Cekuls, sonari pilt, foto)"
2259,"Krisjanis Valdemars","Krisjanis Valdemars","no","Lati",NA,"20. sajand","jaamurdja",NA,"aurulaev","59.7","16.45","1982",NA,"28.08.1941 - laevahukk, Juminda miinivali 2007 - avastamine 2008 - identifitseerimine","yes",59.7665056066351,25.2790185460324,"Juminda miinivali","miin",1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 28. augustil 1941.a. Koos laevaga hukkusid koik sellel olnud 87 inimest.","2007","2007. aastal, Juminda miinivaljal tehtud vrakiotsingu kaigus leiti vrakk tahisega J8, mis vastas otsitavale jaamurdjale. Identifitseeritud 2008.a.","no","Krisjanis Valdemars, Raj. II - , Lati jaamurdja, 1982 brt, pikkus 59,70 meetrit, laius 16,45 meetrit, hukkus Juminda miinivaljal 28. augustil 1941.a. 2007. aastal, Juminda miinivaljal tehtud vrakiotsingu kaigus leiti vrakk tahisega J8, mis vastas otsitavale jaamurdjale. Identifitseeritud 2008.a. Koordinaadid 59*45,968<U+00B4>N; 25*16,735<U+00B4>E  Koos laevaga hukkusid koik sellel olnud 87 inimest. (A1; A324)"
6212,"Lacplesis","Lacplesis","no","Lati",NA,"20. sajand","jaamurdja",NA,NA,NA,NA,NA,NA,"22.07.1941 - laevahukk","ules tostetud",NA,NA,"Roomassaare sadam","suurtukituli",1941,NA,"Roomassaare","sadam","Abruka lahistel Saksa traalerite suurtukitulest vigastatuna viidi Roomassaare sadamasse, kus uppus kai aares 22.07.1941.a. Tosteti samal sugisel ules ja taastati. (",NA,NA,"yes","Lacplesis, Raj. VI -  , Lati jaamurdja, veevaljasurve 253 t, Abruka lahistel Saksa traalerite suurtukitulest vigastatuna viidi Roomassaare sadamasse, kus uppus kai aares 22.07.1941.a. Tosteti samal sugisel ules ja taastati. (A1 lk.64-65, A92 lk.360)"
2464,"Konrad","Konrad","no","Rootsi","1859","19. sajand","kaljas",NA,NA,NA,NA,NA,"Mahutavus 65 lasti","1859 - ehitamine, Lemland, Rootsi 1873 - laevahukk","yes",NA,NA,"Tallinna lahistel. Praegune asukoht teadmata.","randumine",1873,NA,"Tallinna laht","laht","Jooksis randa Tallinna lahistel 1873.a. Laeva saatus teadmata.",NA,"Asukoht teadmata","no","Konrad, Raj. II -  , Rootsi laev, kaljas, ehit. 1859.a. Lemlandis, 65 lasti, jooksis randa Tallinna lahistel 1873.a. Laeva saatus teadmata. (A206 lk.784)"
7,"Alexandra","Alexandra","no","Soome","1866","19. sajand","kaljas",NA,NA,"20","5.83","36","purjekas (kaljas)","1866 - ehitamine Turu (Abo) 05.10.1944 - laevahukk","yes",NA,NA,"Osmussaare rand",NA,1944,NA,"Osmussaar","saarelahedane","Hukkus Osmussaare rannas 5.10.1944. Ilmselt havinud.",NA,"Leidmata, ilmselt havinud.","no","Alexandra, Raj. ? , Soome purjekas (kaljas) 36 BRT, ehit.1866.a. Turus (Abos), L=20 m  B=5,83 m, hukkus Osmussaare rannas 5.10.1944.a. Jaanused leidmata. Ilmselt havinud. (A92 lk.369, B Moisio)"
738,"Alma","Alma","no","Eesti","1899","19. sajand","kaljas",NA,"mootorpurjekas","25.76","7.5","118.12",NA,"1899 - ehitamine, Matsalu 03.07.1941 - uputamine","ules tostetud",NA,NA,"Uputatud Parnu muulide vahele, hiljem ules tostetud","uputamine",1941,NA,"Parnu","sadamalahedane","Uputati 03.07.1941 Parnu muulide vahele. Hiljem ules tostetud.",NA,NA,"no","Alma (ex Altsione), Raj. VII -  , kaljas, m/purjekas, ehit. 1899 Matsalu, 118,12 BRT, L=25,76 m  B=7,50 m, uputati 03.07.1941 Parnu muulide vahele. Hiljem ules tostetud. (A1 lk.46,121  A24 lk.51)"
566,"Amanda","Amanda","no","Soome",NA,"20. sajand","kaljas",NA,"mootorpurjekas",NA,NA,"40",NA,"06.-07.10.1944 - laevahukk","teadmata",NA,NA,"Eesti rannikul Rohukula lahedal","randumine",1944,NA,"Rohukula","rannikulahedane","Jooksis randa Eesti rannikul Rohukula lahedal 6.-7.10.1944. Ilmselt lammutatud.",NA,"Asukoht teadmata. Ilmselt lammutatud?","no","Amanda, Raj. V -  , Soome mootorpurjekas (kaljas) 40 BRT, jooksis randa Eesti rannikul Rohukula lahedal 6.-7.10.1944.a. Asukoht teadmata. Ilmselt lammutatud? (A92 lk.369, B Moisio)"
3146,"Dan","Dan","no","Eesti","1925","20. sajand","kaljas",NA,"mootorpurjekas","20","5.85","47.18",NA,"1925 - ehitamine  (12?)15.10.1944 - laevahukk","yes",NA,NA,"8 miili Osmussaarest pohjas","rammimine",1944,NA,"Osmussaar","avameri","Rammiti (12?)15.10.1944.a. Saksa allveelaeva U-481 poolt pohja 8 miili Osmussaarest N.",NA,"Leidmata","no","Dan, Raj. III -  , Soome mootorpurjekas (kaljas) 47,18 BRT, ehit. 1925.a. Eestis, L=20 m  B=5,85 m. Rammiti (12?)15.10.1944.a. Saksa allveelaeva U-481 poolt pohja 8 miili Osmussaarest N. Vrakk leidmata. (A92, lk.369 B Moisio)"
3149,"Endla","Endla","no","Soome",NA,"20. sajand","kaljas",NA,"mootorpurjekas",NA,NA,"68",NA,"15.10.1944 - laevahukk","yes",NA,NA,"Uputamine 8 miili Osmussaarest N poole. Praegune asukoht teadmata","suurtukituli",1944,NA,"Osmussaar","avameri","Uputati 15.10.1944.a. Saksa allveelaeva U-481 poolt suurtukitulega 8 miili Osmussaarest N, teel Eestist Hangosse.",NA,"Leidmata","no","Endla, Raj. III -  , Soome mootorpurjekas (kaljas) 68 BRT, uputati 15.10.1944.a. Saksa allveelaeva U-481 poolt suurtukitulega 8 miili Osmussaarest N, teel Eestist Hangosse. Leidmata. (A92 lk.369 B Moisio)"
5,"Greta I","Greta I","no","Soome",NA,"20. sajand","kaljas",NA,"mootorpurjekas",NA,NA,NA,NA,"04.10.1944 - arvatav laevahukk","teadmata",NA,NA,NA,NA,1944,NA,NA,NA,"Kadus jalejtult 04.10.1944 teel Hankost(?) Eestisse",NA,"Saatus ja asukoht teadmata","no","Greta I, Raj. ? , Soome mootorpurjekas (kaljas) kadus jaljetult 4.10.1944.a. teel (Hankost?) Eestisse.  Saatus ja asukoht teadmata. (B Moisio)"
2442,"Hiiusaar","Hiiusaar","no","Eesti",NA,NA,"kaljas",NA,"mootorpurjekas","24.14","6.52","91",NA,"28.-29.08.1941 - laevahukk, Juminda miinivali","yes",NA,NA,"Juminda miinivali",NA,1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 28.-29.08.1941.",NA,"Leidmata","no","Hiiusaar, Raj. II -  , Eesti kaljas (mootorpurjekas), 91 brt, pikkus 24,14 meetri, laius 6,52 meetrit, hukkus Juminda miinivaljal 28.-29. augustil 1941.a. Leidmata. (A1; A324)"
555,"Josefina","Josefina","no","Soome",NA,"20. sajand","kaljas",NA,"mootorlaev","21.25",NA,NA,NA,"09.10.1944 - laevahukk","yes",58.9685248621993,23.5142974323263,"Haapsalust N pool","karilesoit",1944,NA,"Haapsalu","kari","Sattus karile ja uppus Haapsalust N pool 9.10.1944.a.",NA,"Naha aerofotolt","no","Josefina , Raj. V -  (?), Soome mootorpurjekas (kaljas) sattus karile ja uppus Haapsalust N pool 9.10.1944.a. Aerofotolt naha praami meenutav laev (?) pikkusega 21,25 m koordinaatides 58*57,976<U+00B4>N; 23*31,000<U+00B4>E. Ilmselt uks ja seesama? (B Moisio) Vt.ka Haapsalu 1;Haapsalu 1, Raj. V - , tundmatu laeva vrakk Haapsalu lahes pikkusega 21,25 m koordinaatides 58*57,976<U+00B4>N; 23*31,000<U+00B4>E. Naha aerofotolt. (B Ossiptsuk 2015) Vt. ka Josefina."
6119,"Kristiine","Kristiine","no",NA,"1892","19. sajand","kaljas",NA,"mootorpurjekas","19.72","5.34","41.09",NA,"1892 - ehitamine, Nustad 1943 - laevahukk","yes",58.1325624396162,22.4515431423155,"Vahase rannas","torm",1943,NA,"Vahase","saarelahedane","Hukkus tormis Vahase saare rannas 1943. aastal",NA,NA,"no","Kristiine (?), Raj. VI -  , mootorpurjekas, kaljas, 41,09 BRT, ehit. 1892 .a. Nystadis, L=19,72 m  B=5,34 m, hukkus tormis Vahase saare rannas 1943.a. (leitud, merekaardil, B Tomson, Lutt)"
19,"Leda","Leda","no","Soome",NA,"20. sajand","kaljas",NA,"mootorpurjekas",NA,NA,"64",NA,"05.10.1944 - laevahukk","yes",NA,NA,"Saaremaa rannik",NA,1944,NA,"Saaremaa","rannikulahedane","Hukkus Saaremaa rannikul 5.10.1944.a. Asukoht teadmata.",NA,"Asukoht teadmata","no","Leda, Raj. ?, Soome mootorpurjekas (kaljas) 64 BRT, hukkus Saaremaa rannikul 5.10.1944.a. Asukoht teadmata. (A92 lk.369 B Moisio)"
574,"Leo","Leo","no","Soome",NA,"20. sajand","kaljas",NA,NA,NA,NA,"46",NA,"07.10.1944 - laevahukk","yes",NA,NA,"Muhu vain. Praegune asukoht teadmata",NA,1944,NA,"Vainameri","saarelahedane","Uppus Muhu vainas 7.10.1944.a. Saatus ja asukoht teadmata.",NA,"Saatus ja asukoht teadmata","no","Leo, Raj. V -  , Soome purjekas (kaljas) 46 BRT, uppus Muhu vainas 7.10.1944.a. Saatus ja asukoht teadmata. (A92 lk.369 B Moisio)"
3142,"Linnea","Linnea","no","Soome","1901","20. sajand","kaljas",NA,"mootorpurjekas","20.73","5.63","40.15",NA,"1901 - ehitamine, Vormsi, Eesti 24. voi 25.10.1944 - torpedeerimine","yes",NA,NA,"Torpedeerimine Osmussaarest 10 miili N pool, praegune asukoht teadmata","torpeedo",1944,NA,"Osmussaar","avameri","Torpedeeriti Saksa allveelaeva U-958 poolt teekonnal Eestist Hangosse Osmussaarest 10 miili N pool (24?)25.10.1944.a.",NA,"Asukoht teadmata","no","Linnea, Raj. III -   , Soome mootorpurjekas (kaljas) 40,15 BRT, ehit. 1901.a. Vormsil, L=20,73 m  B=5,63 m. Torpedeeriti Saksa allveelaeva U-958 poolt teekonnal Eestist Hangosse Osmussaarest 10 miili N pool (24?)25.10.1944.a. Asukoht teadmata. (A92 lk. 369 B Moisio)"
